"Odds.homeWin","Odds.draw","Odds.awayWin","halfTime_score_Home","halfTime_score_Away","fullTime_score_Home","fullTime_score_Away","homeTeam","awayTeam","winner"
5.64,4.01,1.55,0,1,0,1,"Botafogo FR","CR Flamengo","AWAY_TEAM"
2.4,3.14,2.98,0,2,0,2,"EC Bahia","Ceará SC","AWAY_TEAM"
2.09,3.27,3.47,1,1,3,1,"Fluminense FC","CA Paranaense","HOME_TEAM"
3.13,3.06,2.34,0,0,0,0,"Coritiba FBC","RB Bragantino","DRAW"
1.36,4.69,8.21,1,0,1,0,"São Paulo FC","SC Recife","HOME_TEAM"
1.44,4.31,6.83,1,0,4,0,"Grêmio FBPA","CR Vasco da Gama","HOME_TEAM"
1.83,3.6,4,1,2,2,2,"CA Mineiro","SC Internacional","DRAW"
1.65,3.75,5.03,0,1,0,1,"AC Goianiense","Goiás EC","AWAY_TEAM"
1.48,4.14,6.45,3,0,4,0,"São Paulo FC","Botafogo FR","HOME_TEAM"
3.59,3.27,2.07,0,1,0,1,"CA Paranaense","CA Mineiro","AWAY_TEAM"
1.94,3.31,4.06,1,1,2,1,"RB Bragantino","Fortaleza EC","HOME_TEAM"
1.53,3.91,6.28,1,1,2,1,"SC Internacional","Botafogo FR","HOME_TEAM"
1.51,4.12,6.18,3,0,3,0,"SE Palmeiras","EC Bahia","HOME_TEAM"
2.03,3.11,3.98,0,2,1,2,"Ceará SC","AC Goianiense","AWAY_TEAM"
4.94,3.65,1.7,0,0,0,0,"Goiás EC","Grêmio FBPA","DRAW"
1.46,4.44,6.32,1,1,4,1,"CR Flamengo","Santos FC","HOME_TEAM"
4.07,3.45,1.83,1,0,1,0,"SC Corinthians Paulista","São Paulo FC","HOME_TEAM"
2.3,3.06,3.28,1,0,1,0,"SC Recife","Coritiba FBC","HOME_TEAM"
3.04,3.28,2.3,0,1,1,1,"CR Vasco da Gama","Fluminense FC","DRAW"
2.4,3.23,2.94,1,0,3,0,"São Paulo FC","CA Mineiro","HOME_TEAM"
2.59,3.07,2.82,1,1,2,1,"AC Goianiense","Fluminense FC","HOME_TEAM"
3.99,3.33,1.91,1,1,1,1,"SC Recife","Grêmio FBPA","DRAW"
2.29,3.35,2.75,1,0,2,0,"SC Internacional","SE Palmeiras","HOME_TEAM"
2.64,2.85,2.9,1,2,1,2,"Coritiba FBC","Botafogo FR","AWAY_TEAM"
2.57,3.14,2.73,1,0,1,0,"CR Vasco da Gama","Santos FC","HOME_TEAM"
1.94,3.42,3.76,0,1,0,1,"RB Bragantino","CA Paranaense","AWAY_TEAM"
1.31,5.31,8.03,2,3,4,3,"CR Flamengo","EC Bahia","HOME_TEAM"
2.58,3.14,2.68,0,2,0,2,"Fortaleza EC","Ceará SC","AWAY_TEAM"
1.57,3.82,5.78,1,1,2,1,"SC Corinthians Paulista","Goiás EC","HOME_TEAM"
1.34,5.04,7.68,0,0,2,0,"CA Mineiro","Coritiba FBC","HOME_TEAM"
2.46,3.3,2.74,1,0,1,0,"Goiás EC","SC Recife","HOME_TEAM"
5.7,3.62,1.6,0,0,0,0,"Fortaleza EC","CR Flamengo","DRAW"
3.46,3.07,2.17,0,2,1,2,"Fluminense FC","São Paulo FC","AWAY_TEAM"
2.46,3.13,2.88,0,2,0,2,"Botafogo FR","SC Corinthians Paulista","AWAY_TEAM"
2.83,3.11,2.5,0,2,1,2,"EC Bahia","SC Internacional","AWAY_TEAM"
2.15,3.33,3.25,1,1,1,1,"Santos FC","Ceará SC","DRAW"
1.86,3.35,4.21,1,0,1,0,"SE Palmeiras","RB Bragantino","HOME_TEAM"
1.91,3.4,3.92,2,0,3,0,"CA Paranaense","CR Vasco da Gama","HOME_TEAM"
1.56,3.68,6.27,1,1,2,1,"Grêmio FBPA","AC Goianiense","HOME_TEAM"
1.57,3.86,5.65,1,1,2,1,"Grêmio FBPA","EC Bahia","HOME_TEAM"
2.68,2.98,2.74,0,2,0,2,"Botafogo FR","CA Paranaense","AWAY_TEAM"
2.05,3.27,3.57,0,2,1,2,"Coritiba FBC","Goiás EC","AWAY_TEAM"
2.74,2.89,2.75,1,0,1,0,"SC Recife","Fortaleza EC","HOME_TEAM"
1.51,4.12,6.07,1,2,1,2,"CR Flamengo","Fluminense FC","AWAY_TEAM"
3.19,3.17,2.25,4,2,4,2,"RB Bragantino","São Paulo FC","HOME_TEAM"
2.66,3.26,2.53,0,2,0,2,"Ceará SC","SC Internacional","AWAY_TEAM"
2.06,3.3,3.46,0,0,0,0,"AC Goianiense","CR Vasco da Gama","DRAW"
3.22,3.04,2.3,0,0,0,0,"Coritiba FBC","CA Paranaense","DRAW"
4.13,3.47,1.85,0,1,0,1,"SC Recife","SE Palmeiras","AWAY_TEAM"
3.56,3.07,2.17,0,0,0,0,"Fortaleza EC","Grêmio FBPA","DRAW"
1.45,4.3,6.84,0,1,0,1,"São Paulo FC","Santos FC","AWAY_TEAM"
1.47,4.54,5.97,0,2,0,2,"CR Flamengo","Ceará SC","AWAY_TEAM"
1.47,4.11,6.93,1,0,1,0,"SC Internacional","Goiás EC","HOME_TEAM"
2.17,3.12,3.4,1,1,1,1,"AC Goianiense","EC Bahia","DRAW"
2.47,2.97,3.04,1,0,3,0,"CR Vasco da Gama","Botafogo FR","HOME_TEAM"
2.89,3.23,2.39,1,2,2,2,"RB Bragantino","CA Mineiro","DRAW"
2.19,2.94,3.7,1,0,5,0,"SC Corinthians Paulista","Fluminense FC","HOME_TEAM"
2.36,3.15,3.05,1,1,1,1,"SE Palmeiras","Grêmio FBPA","DRAW"
1.72,3.58,4.74,0,0,1,0,"Fluminense FC","SC Recife","HOME_TEAM"
1.88,3.38,4.08,0,1,0,1,"CR Vasco da Gama","Coritiba FBC","AWAY_TEAM"
1.72,3.54,4.78,1,1,2,1,"Santos FC","Botafogo FR","HOME_TEAM"
3.57,2.99,2.17,1,1,1,1,"CA Paranaense","São Paulo FC","DRAW"
1.42,4.3,7.15,2,1,3,1,"CA Mineiro","AC Goianiense","HOME_TEAM"
